listing_number,property_type,furnished,pets_allowed,backup_water,bedrooms,bathrooms,kitchen,lounge,dining_room,parking,garden,pool,garage,erf_size (m²),floor_area (m²),suburb,city,province,price_type,price (ZAR)
115771599,House,Unknown,No,Unknown,3,3,1,1,1,2,2,0,2,219.0,177.0,Tokai,Cape Town,Western Cape,Per Month,55000.0
115768398,Apartment / Flat,Yes,No,Unknown,0,1,1,1,1,1,1,0,1,51.5,52.0,Sea Point,Cape Town,Western Cape,Per Month,16500.0
115558588,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,167.28571428571428,106.0,Rondebosch,Cape Town,Western Cape,Per Month,24380.0
115778549,Commercial,Unknown,No,Yes,1,2,1,1,1,4,5,0,5,516.0,516.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,53664.0
115780295,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,70.0,70.0,Tokai,Cape Town,Western Cape,Per Month,12780.0
115778638,Industrial,Unknown,No,Unknown,2,2,1,0,0,2,0,0,0,187.0,217.0,Maitland,Cape Town,Western Cape,Per Month,14756.0
115781512,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,331.6666666666667,62.0,Cape Town City Centre,Cape Town,Western Cape,Per m²,151.0
109112713,Commercial,Unknown,No,No,1,2,1,1,1,5,5,0,5,477.0,739.8666666666667,Maitland,Cape Town,Western Cape,Per Month,113500.0
115796385,Commercial,Unknown,No,Yes,1,2,1,1,1,2,5,0,5,139.0,139.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,27800.0
112894893,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,114.0,114.0,Waterfront,Cape Town,Western Cape,Per Month,23598.0
115778203,Apartment / Flat,No,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,89.0,Schaapkraal,Cape Town,Western Cape,Per Month,7950.0
115788608,Commercial,Unknown,No,Yes,1,1,1,1,1,4,5,0,5,506.6923076923077,478.0,Claremont,Cape Town,Western Cape,Per Month,95600.0
115786654,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,350.48387096774195,410.0,Epping Industrial,Cape Town,Western Cape,Per Month,43590.0
115785815,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,350.48387096774195,300.0,Epping Industrial,Cape Town,Western Cape,Per Month,20250.0
115790705,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,241.1382113821138,238.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,35938.0
115779865,Industrial,No,No,Unknown,2,3,1,0,0,0,0,0,0,848.4,715.0,Paarden Eiland,Cape Town,Western Cape,Per Month,308180.0
115795569,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,479.76271186440675,262.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,95630.0
115795998,Industrial,No,No,Unknown,2,1,1,0,0,0,0,0,0,792.5,834.4117647058823,Airport Industria,Cape Town,Western Cape,Per Month,319694.0
115378831,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,479.76271186440675,483.1815642458101,Cape Town City Centre,Cape Town,Western Cape,Per Month,1433685.0
115100684,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,479.76271186440675,483.1815642458101,Cape Town City Centre,Cape Town,Western Cape,Per Month,287790.0
115780432,Commercial,Unknown,No,Unknown,1,6,2,1,1,3,5,0,5,754.5,746.5,Paarden Eiland,Cape Town,Western Cape,Per Month,310000.0
115796071,Commercial,Yes,No,Unknown,1,3,1,1,1,5,5,0,5,434.7142857142857,512.0,Woodstock,Cape Town,Western Cape,Per Month,89600.0
115796395,Commercial,Unknown,No,Yes,1,2,1,1,1,3,5,0,5,537.0,537.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,67125.0
115552120,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,427.0,200.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,20000.0
115816033,Apartment / Flat,No,Yes,Unknown,1,1,1,1,1,1,1,0,1,153.5625,58.0,Sea Point,Cape Town,Western Cape,Per Month,20000.0
115815172,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,322.5263157894737,865.0,Maitland,Cape Town,Western Cape,Per Month,40414.0
115815163,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,187.0,139.0,Maitland,Cape Town,Western Cape,Per Month,7760.0
115777714,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,287.6666666666667,337.2142857142857,Woodstock,Cape Town,Western Cape,Per m²,80.0
115676261,Industrial,Unknown,No,Unknown,2,2,1,0,0,4,0,0,0,354.0,200.0,Epping Industrial,Cape Town,Western Cape,Per Month,109060.0
115793957,Apartment / Flat,Yes,No,Unknown,5,1,1,1,1,1,1,0,1,64.33333333333333,244.0,Woodstock,Cape Town,Western Cape,Per Month,12500.0
115784028,House,Yes,Yes,Unknown,4,3,1,1,1,2,2,0,2,392.0,156.0,Gardens,Cape Town,Western Cape,Per Month,45000.0
115640392,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,153.0,88.0,Wynberg,Cape Town,Western Cape,Per Month,15400.0
115543869,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,160.0,160.0,Gardens,Cape Town,Western Cape,Per Month,22400.0
115778582,Commercial,No,No,Unknown,1,2,1,1,1,3,5,0,5,865.0,588.4375,Salt River,Cape Town,Western Cape,Per Month,56225.0
115659554,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,284.0,284.0,Observatory,Johannesburg,Gauteng,Per Month,52000.0
115781200,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,297.0,75.28571428571429,Claremont,Cape Town,Western Cape,Per Month,11000.0
115728691,Apartment / Flat,Yes,Yes,Unknown,3,3,1,1,1,1,1,0,1,217.25,171.0,Clifton,Cape Town,Western Cape,Per Month,110000.0
115623055,Commercial,Unknown,No,Yes,1,2,1,1,1,3,5,0,5,341.0,341.0,Gardens,Cape Town,Western Cape,Per Month,52855.0
115577029,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,241.1382113821138,129.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,23130.0
115572952,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,479.76271186440675,421.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,82095.0
115572565,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,479.76271186440675,281.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,54811.0
115728897,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,86.16666666666667,85.3157894736842,Gardens,Cape Town,Western Cape,Per Month,15000.0
115555589,Commercial,Unknown,No,Unknown,1,2,2,1,1,5,5,0,5,612.3,743.0,Gardens,Cape Town,Western Cape,Per Month,148600.0
115784608,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,55.0,55.0,Woodstock,Cape Town,Western Cape,Per Month,6950.0
115784668,Apartment / Flat,Yes,No,Unknown,3,1,1,1,1,1,1,0,1,354.0,180.0,Muizenberg,Cape Town,Western Cape,Per Month,19900.0
115640605,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,479.76271186440675,690.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,114015.0
115545105,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,792.5,834.4117647058823,Airport Industria,Cape Town,Western Cape,Per Month,314800.0
115778882,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,238.15625,183.0,Woodstock,Cape Town,Western Cape,Per Month,39985.0
